"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"1954","13379",0.909090909090909,0,0,0
"11979","13379",0.909090909090909,0,0,0
"6734","13379",0.909090909090909,7,7,6
"6365","13379",0.909090909090909,0,0,0
"5846","13379",0.909090909090909,0,0,0
"16753","13379",0.909090909090909,2,1,0
"10985","13379",0.909090909090909,2,2,2
"2589","13379",0.909090909090909,0,0,0
"696","13379",0.909090909090909,0,0,0
"13033","15727",0.909090909090909,0,0,0
"6734","15727",0.909090909090909,4,2,2
"16191","15727",0.909090909090909,0,0,0
"10985","15727",0.909090909090909,0,0,0
"16594","10670",0.909090909090909,0,0,0
"10038","10670",0.909090909090909,0,0,0
"14280","10670",0.909090909090909,0,0,0
"13033","10670",0.909090909090909,1,1,1
"16525","10670",0.909090909090909,0,0,0
"4613","10670",0.909090909090909,0,0,0
"8223","10670",0.909090909090909,0,0,0
"8597","10670",0.909090909090909,2,2,1
"11440","10670",0.909090909090909,0,0,0
"1954","10670",0.909090909090909,0,0,0
"11979","10670",0.909090909090909,0,0,0
"6734","10670",0.909090909090909,0,0,0
"6365","10670",0.909090909090909,3,1,0
"2385","10670",0.909090909090909,0,0,0
"12462","10670",0.909090909090909,0,0,0
"12790","10670",0.909090909090909,2,2,1
"5846","10670",0.909090909090909,0,0,0
"16191","10670",0.909090909090909,0,0,0
"16753","10670",0.909090909090909,0,0,0
"10985","10670",0.909090909090909,0,0,0
"14381","10670",0.909090909090909,0,0,0
"2589","10670",0.909090909090909,0,0,0
"696","10670",0.909090909090909,0,0,0
"540","10670",0.909090909090909,3,2,1
"13379","10670",0.909090909090909,0,0,0
"16594","17219",0.909090909090909,0,0,0
"14280","17219",0.909090909090909,0,0,0
"16525","17219",0.909090909090909,1,0,0
"4613","17219",0.909090909090909,0,0,0
"8223","17219",0.909090909090909,0,0,0
"8597","17219",0.909090909090909,1,0,0
"1954","17219",0.909090909090909,0,0,0
"11979","17219",0.909090909090909,0,0,0
"6734","17219",0.909090909090909,0,0,0
"6365","17219",0.909090909090909,0,0,0
"2385","17219",0.909090909090909,0,0,0
"12462","17219",0.909090909090909,0,0,0
"5846","17219",0.909090909090909,0,0,0
"16191","17219",0.909090909090909,0,0,0
"16753","17219",0.909090909090909,2,0,0
"10985","17219",0.909090909090909,0,0,0
"14381","17219",0.909090909090909,0,0,0
"2589","17219",0.909090909090909,0,0,0
"696","17219",0.909090909090909,0,0,0
"13379","17219",0.909090909090909,5,2,1
"10670","17219",0.909090909090909,2,2,1
"1661","9056",0.909090909090909,5,2,2
"6365","9056",0.909090909090909,6,6,5
"14280","4499",0.909090909090909,8,8,8
"13033","4499",0.909090909090909,4,4,3
"6734","4499",0.909090909090909,6,6,4
"15727","4499",0.909090909090909,0,0,0
"9056","4499",0.909090909090909,9,8,8
"14280","6538",0.909090909090909,3,0,0
"1954","6538",0.909090909090909,0,0,0
"11979","6538",0.909090909090909,5,3,2
"16753","6538",0.909090909090909,0,0,0
"10670","6538",0.909090909090909,0,0,0
"16594","16833",0.909090909090909,0,0,0
"10038","16833",0.909090909090909,0,0,0
"12665","16833",0.909090909090909,0,0,0
"11979","16833",0.909090909090909,1,1,0
"6734","16833",0.909090909090909,0,0,0
"2385","16833",0.909090909090909,0,0,0
"5846","16833",0.909090909090909,0,0,0
"16191","16833",0.909090909090909,0,0,0
"16753","16833",0.909090909090909,0,0,0
"14381","16833",0.909090909090909,0,0,0
"11953","16833",0.909090909090909,1,1,1
"2589","16833",0.909090909090909,0,0,0
"10670","16833",0.909090909090909,0,0,0
"14280","8261",0.909090909090909,0,0,0
"8223","8261",0.909090909090909,0,0,0
"1954","8261",0.909090909090909,0,0,0
"11979","8261",0.909090909090909,0,0,0
"6365","8261",0.909090909090909,1,0,0
