"OTU_ID","CONSENSUS_LINEAGE","SUPERKINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","biological_label"
"OTU_97.379","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Lachnospiraceae / Coprococcus"
"OTU_97.365","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Lachnospiraceae / Coprococcus"
"OTU_97.488","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","Lachnospiraceae / Clostridium"
"OTU_97.1399","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","Lachnospiraceae / Clostridium"
"OTU_97.281","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","Lachnospiraceae / Ruminococcus"
"OTU_97.337","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","Lachnospiraceae / Ruminococcus"
"OTU_97.424","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","Lachnospiraceae / Ruminococcus"
"OTU_97.26200","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Lachnospiraceae / Dorea"
"OTU_97.211","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Lachnospiraceae / Lachnospira"
"OTU_97.6580","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Lachnospiraceae / Lachnospira"
"OTU_97.35940","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Lachnospiraceae / Lachnospira"
"OTU_97.674","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Lachnospiraceae / Coprococcus"
"OTU_97.421","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
