"3013",7,0,3,0,3,0,81,0,0,2,3,0,26,1,2,0,1,17,2,0,150,0,2,7,1,0,8,1,0,4,2,0,8,0,0,1,0,18,74,1,0,0,0,1,0,8,6,1,3,5,0,0,0,0,1,0,0,0,0,1,1,0,4,12,0,1,2,25,0,6,0,0,0,3,0,0,32,2,0,1,0,1,4,46,4,0,2,6,2,0,4,2,0,0,4,2,0,0,0,0,17,11,1,1,0,1,1,0,0,3,0,244,0,86,2,1,7,0,24,0,0,1,0,1,0,1,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,4,6,1,2,3,0,144,2,0,0,0,43,0,1,4,64,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,1,0,34,0,0,0,0,0,0,0,0,0,15,0,12,0,0,3,0,0,12,1,0,0,4,0,0,0,0,2194,2,2,18,4,0,0,1,2,5,2,0,3,0,0,9,4,0,0,0,0,0,12,3,391,0,0,0,0,0,3,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,5,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,21,0,0,0,5,13,0,0,0,8
"3014",2,0,4,0,4,0,239,0,0,102,10,5,228,3,2,2,4,0,11,0,14,0,0,20,0,20,9,0,0,134,20,2,2,2,0,1,0,0,0,5,2,7,1,34,1,14,1,3,9,0,8,4,0,0,201,2,4,4,10,18,0,0,56,192,1,0,0,89,0,3,0,0,1,0,0,0,9,0,2,1,0,0,84,1916,41,25,15,338,3,0,48,5,0,2,12,22,0,0,0,1,23,0,5,0,0,6,0,1,1,7,0,85,0,124,5,5,4,0,13,427,0,6,24,1,2,0,4,8,0,0,0,0,4,0,65,16,0,1,9,154,0,0,3,0,0,0,1,17,0,3,2,0,32,0,0,0,0,0,1,0,0,0,0,22,0,3,0,56,76,0,0,4,0,1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,16,234,0,10,0,0,0,0,13,45,255,0,182,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,33,11,3,0,0,0,0,160,0,0,3,0,0,0,3,13,0,0,0,0,1,0,1,166,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,11,0,1,38,1,0,5,1,1,1,0,0,0,2,2,0,8,0,1,0,1,3,2,18,7,165,0,6,7,0,0,2,41,0,322
"3015",2,1,14,1,11,2,307,1,0,9,0,0,15,0,0,5,0,21,0,0,28,0,0,0,0,0,17,0,0,13,2,2,16,3,0,3,0,0,0,4,0,0,1,16,0,34,1,0,4,0,0,0,5,2,35,0,0,0,0,2,0,0,0,26,0,0,0,68,1,10,0,1,0,0,0,1,399,17,0,6,1,3,23,74,3,0,4,0,6,0,1,5,0,1,6,52,8,0,5,22,0,0,0,0,15,1,0,1,1,3,2,122,1,232,3,2,12,0,6,0,0,2,0,1,2,0,0,3,0,2,6,2,0,0,0,3,0,23,71,51,0,0,3,0,0,0,0,20,0,1,0,0,27,0,2,4,58,0,0,0,0,5,1,68,1,1,0,62,0,0,0,15,0,8,0,12,5,0,2,0,4,9,0,0,5,16,28,0,7,0,0,1,0,3,1,0,41,0,0,0,1,0,0,0,0,477,0,304,1,0,0,0,0,0,0,0,0,0,1,1,1286,5,0,0,1,0,13,5,0,0,1,74,518,1,0,9,15,0,0,1,0,1,0,1,0,0,0,0,390,0,5,11,4,427,5,0,0,21,0,3,0,0,1,0,3,0,11,0,0,0,0,2,0,0,3,55,0,5,12,0,5,5,2,4,0,0,0,1,0,23,8,0,4,4,0,0,35,0,24
"3016",2,3,2,0,2,1,134,0,0,20,0,1,29,1,0,1,0,119,0,0,87,1,1,5,0,3,78,0,1,16,33,22,6,0,0,2,0,6,27,23,1,15,8,59,1,75,11,0,13,5,0,3,16,5,3,0,2,6,2,3,0,0,3,15,0,0,0,25,5,25,0,0,0,10,25,0,113,3,26,2,161,4,2,25,0,3,2,26,0,3,0,0,0,2,3,0,126,3,17,0,0,8,3,0,0,4,0,0,0,9,0,73,0,103,0,3,0,0,1,37,0,0,0,1,1,1,0,1,0,0,0,0,3,0,123,11,0,33,41,155,0,10,10,0,0,0,3,184,0,0,0,0,0,0,1,4,100,1,0,0,1,1,0,125,0,0,0,0,0,0,0,5,0,0,10,3,3,0,0,9,41,1,2,0,0,0,7,2,10,1,0,1,0,0,0,11,32,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,7,0,0,1,0,8,4,0,2,1,53,160,0,1,9,0,0,0,1,107,0,0,0,0,1,0,0,112,0,4,0,0,488,4,1,0,6,3,0,0,0,0,0,0,1,0,17,0,0,0,4,0,0,0,0,0,0,0,2,2,1,0,1,0,1,0,113,2,46,38,0,3,18,5,0,13,1,75
"3017",6,0,6,2,2,0,105,0,12,0,0,0,29,1,0,0,1,3,0,0,1,0,18,29,2,6,27,1,0,6,14,13,2,0,0,0,0,0,0,10,0,17,0,0,0,47,1,0,6,0,1,1,0,0,1,1,3,0,1,1,0,1,3,10,0,0,0,9,0,5,0,0,0,0,1,0,45,1,0,2,51,1,19,100,0,1,25,29,3,21,0,0,0,0,1,3,0,0,0,34,4,0,0,1,0,1,0,0,0,0,0,27,0,82,0,0,0,0,21,48,1,1,0,0,0,0,0,1,0,1,0,0,3,1,28,38,4,0,11,121,1,2,2,0,0,0,0,73,0,0,2,0,97,2,0,1,38,0,0,221,0,0,1,47,0,0,0,0,0,3806,0,0,0,0,0,0,3,0,0,1,36,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,6,0,3,0,3,0,3,0,58,0,1,303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,2,0,68,239,0,0,5,0,0,0,0,92,0,0,0,0,0,0,0,41,0,0,1,0,174,1,0,0,0,2,0,0,4,5,4,1,5,0,3,0,1,0,0,0,0,1,2,1,1,2,0,0,0,0,0,1,1,0,1,1,12,0,0,1,2,0,0,11,0,5
"3018",0,0,4,0,6,2,182,1,0,17,2,0,176,3,1,0,0,0,0,0,7,0,0,0,1,0,1,0,0,33,26,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,13,0,0,0,0,0,54,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,31,3,2,5,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,25,0,26,0,0,0,0,3,4,91,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,2,395,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,176,0,0,0,0,18,0,0
"3019",35,0,13,4,15,2,435,1,0,1,0,1,7,0,0,0,0,0,3,1,6,0,0,0,0,0,4,0,0,30,1,29,16,0,1,2,0,3,35,1,191,0,2,75,0,30,2,0,0,0,2,6,0,0,11,1,1,1,1,1,0,9,2,11,0,0,1,35,0,2,1,0,0,0,0,0,396,3,0,3,0,1,29,64,0,13,22,69,11,11,0,0,0,2,6,3,1,6,0,16,0,1,1,0,0,1,1,0,0,0,0,129,0,55,1,3,1,0,4,58,0,7,13,0,9,0,0,11,0,2,27,4,0,0,32,11,0,44,103,154,1,4,7,6,1,1,1,134,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,46,0,13,0,101,511,0,0,0,0,6,5,5,22,5,3,31,8,3,0,1,0,26,41,0,0,0,0,0,0,2,1,2,0,74,0,15,2,2,0,3,59,233,1,1382,0,3,4,2,1,1,0,1,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,8,169,1,0,37,8,2,0,0,0,0,0,0,22,0,0,0,80,0,10,26,10,1123,2,0,8,4,14,0,3,12,10,19,3,0,0,2,1,0,1,0,1,2,0,15,3,4,0,0,0,5,8,1,0,15,18,0,4,53,71,0,0,2,0,1,14,0,7
"3020",1,0,9,0,3,0,163,1,0,5,1,1,37,1,0,0,0,1,1,0,4,0,2,1,1,3,2,0,0,32,7,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,25,0,8,1,10,9,1,0,2,35,0,0,0,115,0,6,0,2,0,0,0,0,10,0,0,1,0,0,75,9,0,0,3,15,1,6,0,0,0,0,2,0,0,4,0,1,0,0,3,1,0,0,0,0,0,2,0,11,0,23,1,0,3,0,0,0,0,20,0,4,0,0,1,10,0,0,0,0,0,1,0,18,1,4,12,66,0,1,1,0,0,0,0,20,0,0,0,0,22,0,2,7,108,0,0,0,0,0,0,29,0,11,0,230,0,0,1,1,0,1,0,0,2,0,0,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,6,63,225,1,579,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,497,138,0,0,55,2,1,0,0,0,1,2,1,25,0,0,0,142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,7,0,0,2,0,0,0,3,2,0,10,0,0,0,8,10,0,0,2,24,0,0,2,0,10,0,10,0,37
"3022",0,0,7,2,4,1,138,0,39,1,0,0,5,0,0,1,0,23,3,0,97,1,34,42,6,3,26,4,1,3,3,1,21,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,50,1,0,0,0,0,2,3,0,2,2,4,0,0,0,69,0,0,0,182,0,0,0,1,0,2,0,0,71,4,0,5,0,0,6,2,0,4,0,4,1,0,0,0,1,0,2,0,0,0,4,34,0,5,2,3,0,1,0,0,0,2,0,22,0,38,1,0,1,1,0,89,0,4,0,0,0,1,0,1,0,0,0,0,0,0,11,6,0,9,15,69,1,2,1,0,0,0,0,46,0,1,1,3,1,0,0,11,77,2,0,0,0,0,0,0,2,5,0,308,0,0,1,2,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,1,0,9,0,0,87,0,1,1196,3,2,12,3,0,0,1,3,2,1,0,3,0,0,5,10,1,0,1,18,1,3,2,280,544,1,1,7,170,0,0,3,69,0,1,0,0,0,0,1,287,1,19,84,70,1311,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,20,0,0,0,47,4,6,0,0,2,0,5,0,33
"3023",24,0,48,3,16,0,655,9,147,18,2,0,60,1,0,0,4,12,1,0,4,1,2,16,0,14,2,1,0,17,14,7,0,1,1,5,0,0,28,0,0,0,0,0,0,0,2,3,6,0,9,3,17,4,40,0,0,4,0,4,0,4,24,45,0,0,0,37,0,0,0,0,0,0,1,0,27,0,0,1,0,1,53,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,106,0,3,2,0,18,88,0,0,0,1,0,2,0,2,4,1,0,0,5,0,63,0,0,0,0,0,0,5,4,3,1,0,0,135,1,3,0,34,3,0,3,26,191,0,0,0,3,0,0,84,1,7,0,113,0,0,0,4,0,1,0,0,7,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,3,0,0,0,10,2,1,0,0,26,92,108,1,1606,0,3,8,1,1,0,0,5,1,2,1,6,0,0,1,4,1,61,6,6,2,0,0,1,404,1,0,11,0,5,0,2,0,0,0,0,95,1,0,0,327,0,19,193,81,1334,6,1,0,0,0,0,0,5,15,4,0,0,1,0,0,1,0,0,2,1,2,13,3,2,0,0,0,2,2,0,0,1,0,0,2,100,0,9,0,0,14,0,10,0,21
