"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"1830","2012",1,0,0,0
"9602","2012",1,0,0,0
"9223","2012",1,0,0,0
"14183","2012",1,0,0,0
"12558","2012",1,0,0,0
"15401","2012",1,0,0,0
"7422","2012",1,0,0,0
"5536","2012",1,6,6,6
"8163","2012",1,3,3,2
"13295","2012",1,0,0,0
"15044","14044",1,0,0,0
"10240","14044",1,0,0,0
"82","14044",1,0,0,0
"11203","14044",1,0,0,0
"14794","14044",1,0,0,0
"1605","14044",1,0,0,0
"3825","14044",1,0,0,0
"696","14044",1,0,0,0
"9096","14044",1,0,0,0
"8954","14044",1,1,1,1
"9056","14044",1,0,0,0
"12943","14044",1,0,0,0
"6538","14044",1,0,0,0
"9602","14044",1,0,0,0
"10828","14044",1,0,0,0
"675","14044",1,9,9,7
"7791","14044",1,7,6,5
"13295","14044",1,0,0,0
"2012","14044",1,0,0,0
"13295","14145",1,5,5,5
"14044","14145",1,1,0,0
"1661","3502",1,0,0,0
"10784","3502",1,0,0,0
"4047","3502",1,0,0,0
"15044","3502",1,0,0,0
"13033","3502",1,1,0,0
"8223","3502",1,4,3,1
"11185","3502",1,0,0,0
"11701","3502",1,2,0,0
"10240","3502",1,0,0,0
"1954","3502",1,0,0,0
"82","3502",1,0,0,0
"3663","3502",1,0,0,0
"6365","3502",1,0,0,0
"11004","3502",1,0,0,0
"13087","3502",1,0,0,0
"11734","3502",1,0,0,0
"1759","3502",1,0,0,0
"1180","3502",1,0,0,0
"10975","3502",1,0,0,0
"2361","3502",1,3,3,3
"16870","3502",1,0,0,0
"2589","3502",1,2,0,0
"3825","3502",1,0,0,0
"9096","3502",1,0,0,0
"15392","3502",1,0,0,0
"15727","3502",1,1,1,0
"1547","3502",1,2,1,0
"6189","3502",1,0,0,0
"9056","3502",1,3,2,0
"12943","3502",1,0,0,0
"12226","3502",1,3,0,0
"12709","3502",1,3,2,1
"6538","3502",1,3,3,3
"12237","3502",1,0,0,0
"8422","3502",1,3,2,2
"4737","3502",1,0,0,0
"11351","3502",1,1,1,1
"9602","3502",1,0,0,0
"16984","3502",1,0,0,0
"14183","3502",1,3,2,1
"8486","3502",1,0,0,0
"11317","3502",1,0,0,0
"15401","3502",1,0,0,0
"5151","3502",1,0,0,0
