"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"5575","4414",0.986531986531986,0,0,0
"1478","3162",0.986531986531986,0,0,0
"3957","4359",0.986531986531986,0,0,0
"3032","1478",0.986378940924395,3,0,0
"153","797",0.985766758494031,0,0,0
"5252","3071",0.984848484848485,1,1,1
"4363","2286",0.984848484848485,1,1,1
"5273","381",0.984848484848485,0,0,0
"4608","2382",0.984848484848485,0,0,0
"2425","2382",0.984848484848485,0,0,0
"3026","2382",0.983164983164983,6,5,3
"4608","5563",0.983164983164983,4,4,3
"4440","4002",0.981481481481482,0,0,0
"5160","5045",0.981481481481482,0,0,0
"2425","4359",0.981481481481482,7,5,4
"2135","5634",0.981481481481482,0,0,0
"720","2780",0.981481481481482,0,0,0
"4702","2780",0.981481481481482,0,0,0
"1618","5252",0.97979797979798,0,0,0
"4702","5045",0.97979797979798,0,0,0
"4793","1376",0.97979797979798,0,0,0
"4002","5634",0.97979797979798,0,0,0
"44","2780",0.97979797979798,0,0,0
"1618","1571",0.978114478114478,0,0,0
"4871","153",0.978114478114478,8,8,6
"5575","4813",0.978114478114478,0,0,0
"3957","5563",0.978114478114478,0,0,0
"1618","1478",0.976430976430976,1,1,1
"2286","4702",0.974747474747475,2,1,0
"5252","4243",0.974747474747475,0,0,0
"5575","5045",0.97413529231711,0,0,0
"4831","4551",0.973676155494337,0,0,0
"4871","3988",0.973063973063973,0,0,0
"4912","358",0.973063973063973,0,0,0
"5575","215",0.973063973063973,1,1,0
"2425","5634",0.973063973063973,0,0,0
"1478","4060",0.971380471380471,0,0,0
"548","5575",0.971380471380471,1,1,0
"548","720",0.971074380165289,0,0,0
"5273","1336",0.971074380165289,0,0,0
"3032","4457",0.969850015304561,0,0,0
"4060","1936",0.96969696969697,0,0,0
"1618","44",0.96969696969697,0,0,0
"4357","44",0.96969696969697,0,0,0
"1571","3977",0.96969696969697,0,0,0
"3071","1936",0.968013468013468,0,0,0
"3988","153",0.968013468013468,0,0,0
"5575","2382",0.966329966329966,0,0,0
"40","4395",0.964799510254056,0,0,0
"4359","2382",0.964646464646465,1,1,0
"464","2780",0.963269054178145,0,0,0
"3957","2015",0.962962962962963,0,0,0
"464","4243",0.962962962962963,0,0,0
"4440","4352",0.962197734925008,4,3,3
"3032","3147",0.961432506887052,0,0,0
"464","5563",0.960820324456688,0,0,0
"5414","3026",0.960055096418733,0,0,0
"1429","411",0.95959595959596,0,0,0
"215","4776",0.95959595959596,0,0,0
"1571","4395",0.95959595959596,0,0,0
"1549","4352",0.95684113865932,0,0,0
"3032","2780",0.956228956228956,4,3,0
"720","4060",0.955157636975819,1,1,1
"720","4414",0.954392408937863,0,0,0
"189","4352",0.953780226507499,1,1,1
"4002","4395",0.953627180899908,0,0,0
"4608","5634",0.949954086317723,0,0,0
"4912","4835",0.94949494949495,0,0,0
"548","5273",0.948729721456994,0,0,0
"2961","3957",0.946434037343128,0,0,0
"4670","5262",0.946127946127946,0,0,0
"1618","4776",0.946127946127946,0,0,0
"4060","2286",0.945974900520355,0,0,0
"3957","4831",0.943985307621671,0,0,0
"5273","2961",0.943220079583716,4,2,1
"464","4395",0.942760942760943,0,0,0
"153","4359",0.940006121824304,0,0,0
"2430","5575",0.938934802571166,0,0,0
"2893","4352",0.938934802571166,0,0,0
"4457","44",0.937863483318029,1,0,0
"1571","1429",0.937710437710438,0,0,0
"3032","5563",0.936333027242118,0,0,0
"4608","4831",0.936026936026936,0,0,0
"4695","4414",0.935873890419345,0,0,0
"2425","4440",0.934343434343434,0,0,0
"548","1571",0.932966023875115,0,0,0
"153","2425",0.930976430976431,0,0,0
"1618","381",0.930976430976431,0,0,0
"3957","4395",0.930976430976431,0,0,0
"4002","2015",0.930364248546067,0,0,0
"4793","3954",0.929292929292929,0,0,0
"1478","4395",0.927303336394245,0,0,0
"1336","4352",0.925466789103153,0,0,0
"1478","1429",0.92363024181206,0,0,0
"4359","5634",0.922558922558923,0,0,0
"3026","5634",0.921334557698194,0,0,0
"5252","4813",0.920875420875421,0,0,0
"5217","2430",0.92072237526783,0,0,0
"3071","464",0.919191919191919,0,0,0
"381","2382",0.917355371900826,0,0,0
"3032","1571",0.917202326293235,0,0,0
"464","5045",0.915824915824916,0,0,0
"720","4813",0.915518824609734,0,0,0
"1478","2286",0.912457912457912,0,0,0
"3032","4060",0.910774410774411,3,3,1
"5496","3839",0.910774410774411,0,0,0
"189","3988",0.907407407407407,0,0,0
"5160","3032",0.904040404040404,0,0,0
"2135","44",0.904040404040404,0,0,0
"3988","5575",0.902356902356902,0,0,0
"5160","44",0.902356902356902,0,0,0
"5443","1596",0.900673400673401,0,0,0
"4457","5575",0.89485766758494,0,0,0
"2430","3032",0.894092439546985,7,7,5
"5252","5575",0.893939393939394,1,1,1
"2893","1365",0.893939393939394,0,0,0
"1931","1336",0.89194980104071,0,0,0
"3957","5045",0.887205387205387,0,0,0
"5045","2780",0.885827976737068,0,0,0
"2705","44",0.884450566268748,0,0,0
"4793","4002",0.883838383838384,0,0,0
"2425","4831",0.879093970003061,0,0,0
"1376","4813",0.879093970003061,0,0,0
"2434","4414",0.878787878787879,1,0,0
"3945","2286",0.877104377104377,0,0,0
"2425","3977",0.876186103458831,0,0,0
"548","2286",0.875880012243649,0,0,0
"153","4440",0.875420875420875,0,0,0
"464","4357",0.875420875420875,3,2,2
"4321","4414",0.875420875420875,1,1,0
"3032","4002",0.87465564738292,0,0,0
"5443","4440",0.872053872053872,0,0,0
"4831","2382",0.87037037037037,0,0,0
"4002","3147",0.869911233547597,0,0,0
"2434","2135",0.867003367003367,0,0,0
"2286","2780",0.866850321395776,0,0,0
"5273","332",0.864401591674319,1,1,1
"5583","4776",0.863636363636364,0,0,0
"5563","3977",0.863636363636364,0,0,0
"3957","4357",0.863330272421182,0,0,0
"4871","3032",0.861952861952862,0,0,0
"2799","2572",0.861952861952862,1,0,0
"5328","3957",0.86026936026936,3,3,1
"3246","4831",0.859044995408632,0,0,0
"2286","4352",0.858585858585859,0,0,0
"548","3988",0.856902356902357,0,0,0
"4793","4457",0.856749311294766,0,0,0
"4708","5443",0.855831037649219,0,0,0
"4357","4813",0.855677992041628,0,0,0
"464","2382",0.855371900826446,0,0,0
"5414","4871",0.852157943067034,0,0,0
"1336","4813",0.851851851851852,0,0,0
"3957","3977",0.851392715029079,0,0,0
"4414","3162",0.851086623813897,0,0,0
"4871","5575",0.85016835016835,0,0,0
"5273","3071",0.849862258953168,0,0,0
"5468","5045",0.849403122130395,2,1,0
"189","44",0.848790939700031,0,0,0
"2286","4414",0.848484848484849,0,0,0
"358","44",0.846801346801347,0,0,0
"40","1590",0.845730027548209,0,0,0
"1890","3344",0.845117845117845,9,9,9
"5045","5394",0.843893480257117,2,0,0
"4357","2382",0.843740434649526,0,0,0
"189","2286",0.843434343434343,0,0,0
"1478","2780",0.842669115396388,0,0,0
"3977","4395",0.842669115396388,0,0,0
"1453","1571",0.840220385674931,0,0,0
"1618","464",0.839302112029385,0,0,0
"2425","4813",0.83868992959902,0,0,0
"3352","4414",0.835322926232017,0,0,0
"5575","5583",0.832262014080196,0,0,0
"3147","4352",0.829201101928375,0,0,0
"4831","4222",0.828741965105601,0,0,0
"3032","4979",0.828282828282828,5,2,2
"2286","3147",0.828282828282828,0,0,0
"4702","4352",0.828282828282828,0,0,0
"2961","4414",0.827823691460055,0,0,0
"1429","3977",0.824609733700643,1,1,0
"3147","2382",0.822926232017141,5,3,3
"1618","4608",0.82277318640955,0,0,0
"3527","154",0.821548821548822,0,0,0
"4457","2382",0.820477502295684,0,0,0
"5045","5634",0.820171411080502,0,0,0
"720","4352",0.818487909397,0,0,0
"548","3527",0.816498316498317,0,0,0
"4871","44",0.815120906029997,0,0,0
"4871","4002",0.814967860422406,0,0,0
"4002","4813",0.814814814814815,0,0,0
"4702","1590",0.812366085093358,0,0,0
"5273","5045",0.811447811447811,0,0,0
"1571","4608",0.810223446587083,0,0,0
"2382","4352",0.809917355371901,0,0,0
"1571","2780",0.80976430976431,0,0,0
"3071","2286",0.805785123966942,0,0,0
"5460","4414",0.804866850321396,0,0,0
"4414","2300",0.80257116620753,0,0,0
"189","3527",0.801346801346801,9,8,6
"1618","2961",0.800581573308846,0,0,0
"3352","44",0.799510254055709,0,0,0
"797","4352",0.798591980410162,0,0,0
"720","5045",0.798132843587389,0,0,0
"5160","4793",0.797826752372207,0,0,0
"3071","1376",0.797214569941843,6,5,3
"1453","1478",0.796296296296296,0,0,0
"4793","44",0.796143250688705,0,0,0
"5252","2135",0.795531068258341,0,0,0
"3032","3071",0.793541475359657,0,0,0
"2705","464",0.792929292929293,0,0,0
"4702","4414",0.792011019283747,0,0,0
"3954","4395",0.788337924701561,6,5,3
"381","5634",0.787878787878788,0,0,0
"4359","4352",0.786195286195286,0,0,0
"3032","2425",0.78527701254974,0,0,0
"1571","2286",0.785123966942149,0,0,0
"1618","2135",0.783287419651056,0,0,0
"4831","3640",0.782522191613101,0,0,0
"2705","3032",0.781756963575145,0,0,0
"4702","797",0.777012549739822,2,1,0
"4194","5575",0.776094276094276,0,0,0
"5217","4395",0.773186409550046,0,0,0
"381","5563",0.772115090296909,0,0,0
"1618","1336",0.771043771043771,0,0,0
"2286","1596",0.767676767676768,0,0,0
"4793","3977",0.767676767676768,0,0,0
"2860","2286",0.767217630853995,0,0,0
"5217","381",0.764309764309764,8,7,6
"3988","1618",0.764003673094582,4,3,1
"4813","4395",0.76232017141108,0,0,0
"5443","2425",0.761554943373125,0,0,0
"2135","171",0.750535659626569,0,0,0
"2286","4395",0.749158249158249,0,0,0
"4964","44",0.748546066727885,0,0,0
"153","4002",0.746556473829201,0,0,0
"3032","4964",0.746097337006428,0,0,0
"153","5583",0.745791245791246,0,0,0
"4793","4702",0.744719926538108,0,0,0
"4457","5634",0.744107744107744,0,0,0
"5273","4060",0.743954698500153,0,0,0
"4666","4414",0.742424242424242,0,0,0
"40","4831",0.741505968778696,0,0,0
"4831","4352",0.741352923171105,0,0,0
"4793","3147",0.739975512702785,0,0,0
"3957","2135",0.739669421487603,0,0,0
"3032","2286",0.737373737373737,0,0,0
"2961","4352",0.735996326905418,0,0,0
"548","1931",0.734006734006734,0,0,0
"1596","5575",0.734006734006734,1,1,1
"5273","1931",0.733547597183961,0,0,0
"2286","2135",0.732323232323232,0,0,0
"5160","464",0.729262320171411,0,0,0
"4964","5575",0.727272727272727,0,0,0
"3114","5273",0.72620140801959,2,1,1
"4871","2286",0.725283134374043,0,0,0
"5160","153",0.72482399755127,0,0,0
"3227","153",0.723752678298133,5,5,4
"5217","1571",0.718855218855219,0,0,0
"548","358",0.718855218855219,1,1,1
"4286","3147",0.717171717171717,0,0,0
"4457","5252",0.716865625956535,0,0,0
"4002","4357",0.714416896235078,0,0,0
"153","2893",0.713039485766758,0,0,0
"4194","1453",0.711509029690848,0,0,0
"40","4002",0.71043771043771,0,0,0
"1490","3162",0.707070707070707,1,0,0
"4793","5563",0.703550658096113,0,0,0
"1931","1376",0.695592286501377,0,0,0
"2913","4414",0.69314355677992,0,0,0
"3162","381",0.692837465564738,4,3,3
"2382","5563",0.691919191919192,0,0,0
"5252","2780",0.689623507805326,0,0,0
"171","4352",0.688552188552189,0,0,0
"2913","1490",0.688399142944597,0,0,0
"5273","1590",0.687480869299051,0,0,0
"5443","4608",0.686868686868687,0,0,0
"1478","4702",0.683501683501683,0,0,0
"5414","548",0.680899908172635,0,0,0
"1478","4608",0.679675543311907,0,0,0
"4666","4831",0.67860422405877,2,1,1
"1931","5575",0.678451178451178,0,0,0
"1371","4352",0.678451178451178,0,0,0
"2893","2382",0.676308539944904,0,0,0
"2860","44",0.672023262932354,0,0,0
"5045","4551",0.671564126109581,7,7,4
"2425","381",0.670186715641261,0,0,0
"5273","1036",0.668962350780533,2,2,2
"3227","2286",0.668503213957759,0,0,0
"548","1478",0.667278849097031,0,0,0
"5217","5045",0.66712580348944,0,0,0
"4702","4243",0.666666666666667,0,0,0
"1571","381",0.666666666666667,0,0,0
"548","5563",0.665289256198347,0,0,0
"4871","40",0.66131007040098,0,0,0
"3128","4036",0.65993265993266,0,0,0
"411","4395",0.659320477502296,0,0,0
"4002","2135",0.657636975818794,0,0,0
"5273","2425",0.65702479338843,0,0,0
"5045","2132",0.655800428527701,0,0,0
"4648","44",0.654269972451791,1,1,0
"1371","4708",0.653198653198653,0,0,0
"5217","5468",0.651515151515151,0,0,0
"5160","1571",0.650137741046832,0,0,0
"2434","171",0.648148148148148,8,7,5
"4194","4352",0.646311600857055,0,0,0
"1478","1376",0.645852464034282,0,0,0
"1429","5634",0.644781144781145,1,1,1
"3147","5634",0.642026323844506,0,0,0
"1376","4352",0.640495867768595,0,0,0
"2705","4793",0.640036730945822,0,0,0
"4414","2780",0.640036730945822,1,1,0
"4793","1571",0.637894092439547,0,0,0
"358","4831",0.63682277318641,0,0,0
"4666","3957",0.634220997857362,0,0,0
"2839","2077",0.632996632996633,8,8,8
"4599","4352",0.632690541781451,3,2,0
"153","2382",0.632078359351087,0,0,0
"5273","2135",0.630394857667585,0,0,0
"1618","1490",0.628099173553719,0,0,0
"3954","4414",0.627946127946128,0,0,0
"4831","2135",0.627946127946128,0,0,0
"5634","4352",0.62534435261708,0,0,0
"3032","4702",0.624885215794307,0,0,0
"2913","411",0.624579124579125,0,0,0
"4793","4831",0.621518212427303,0,0,0
"2286","40",0.621365166819712,0,0,0
"4440","3957",0.620599938781757,0,0,0
"5273","1571",0.619681665136211,0,0,0
"1618","5045",0.614784205693297,0,0,0
"4060","153",0.612794612794613,0,0,0
"4357","5634",0.612794612794613,0,0,0
"4363","153",0.61233547597184,0,0,0
"1453","2705",0.6095806550352,0,0,0
"153","171",0.609274563820018,0,0,0
"2893","5634",0.608815426997245,0,0,0
"215","4813",0.607438016528926,0,0,0
"1571","720",0.606978879706152,0,0,0
"5217","3957",0.605907560453015,0,0,0
"2705","1571",0.604836241199878,0,0,0
"5252","1936",0.604071013161922,0,0,0
"5273","1376",0.602999693908785,0,0,0
"2286","392",0.601010101010101,0,0,0
"3276","58",0.599020508111417,0,0,0
"3032","4831",0.597490052035507,0,0,0
"153","1064",0.595194367921641,1,0,0
"4608","5045",0.593510866238139,0,0,0
"4286","3954",0.590909090909091,0,0,0
"4831","4776",0.589684726048362,0,0,0
"4648","4002",0.589225589225589,0,0,0
"5096","4707",0.588154269972452,0,0,0
"4793","4414",0.587389041934496,0,0,0
"5443","4414",0.586776859504132,1,1,0
"1931","5634",0.586317722681359,0,0,0
"4831","2653",0.583409856137129,0,0,0
"2913","44",0.580501989592899,0,0,0
"2430","4702",0.574074074074074,0,0,0
"4457","464",0.571625344352617,0,0,0
"1280","4702",0.571319253137435,0,0,0
"4831","1336",0.570247933884298,0,0,0
"2705","4243",0.56917661463116,0,0,0
"4702","5313",0.56917661463116,0,0,0
"4793","3071",0.569023569023569,0,0,0
"2286","4440",0.569023569023569,0,0,0
"1618","332",0.569023569023569,0,0,0
"2430","5563",0.568411386593205,0,0,0
"3147","3977",0.566115702479339,0,0,0
"5045","4352",0.562595653504744,0,0,0
"4414","3977",0.559840832568105,0,0,0
"4793","1429",0.558922558922559,0,0,0
"4702","3957",0.558922558922559,0,0,0
"4780","4352",0.55769819406183,0,0,0
"2425","4395",0.556779920416284,0,0,0
"5217","1478",0.554943373125191,0,0,0
"3945","44",0.554025099479645,0,0,0
"3957","2780",0.553872053872054,0,0,0
"2286","5575",0.553565962656872,0,0,0
"1478","4912",0.552800734618916,0,0,0
"2286","2382",0.552494643403734,0,0,0
"2896","1571",0.55050505050505,0,0,0
"3026","3032",0.547903275176002,0,0,0
"40","1718",0.545454545454545,1,0,0
"1618","4357",0.544995408631772,0,0,0
"189","2382",0.544383226201408,0,0,0
"2046","4352",0.543924089378635,1,1,0
"3538","4352",0.542393633302724,0,0,0
"4695","4831",0.54040404040404,0,0,0
"5634","4229",0.538414447505357,0,0,0
"4793","1478",0.537037037037037,0,0,0
"4002","5563",0.537037037037037,0,0,0
"4608","2135",0.536424854606673,0,0,0
"4702","1718",0.535353535353535,0,0,0
"4060","4414",0.535047444138353,0,0,0
"4223","4352",0.53458830731558,0,0,0
"3957","2653",0.533363942454852,1,1,0
"4223","4831",0.533057851239669,0,0,0
"3071","153",0.53168044077135,0,0,0
